0.285,0.3505
1,0.62602
0.12195,0.11382
0.25203,0.17073
0.35772,0.19512
0.41463,0.21138
0.47154,0.21951
0.5122,0.21951
0.56911,0.22764
0.5935,0.22764
0.62602,0.23577
0.66667,0.23577
0.6748,0.23577
0.71545,0.23577
0.72358,0.23577
0.73984,0.23577
0.7561,0.23577
0.78862,0.23577
0.81301,0.23577
0.82114,0.23577
0.84553,0.23577
0.85366,0.23577
0.86992,0.23577
0.86992,0.23577
0.86992,0.23577
0.87805,0.23577
0.88618,0.23577
0.90244,0.23577
0.90244,0.23577
0.90244,0.23577
0.91057,0.23577
0.91057,0.23577
0.91057,0.23577
0.91057,0.23577
0.91057,0.23577
0.91057,0.23577
0.9187,0.23577
0.9187,0.23577
0.9187,0.23577
0.9187,0.23577
0.9187,0.23577
0.9187,0.23577
0.9187,0.23577
NaN,NaN
0.285,0.3505
0.9187,0.23577
0.76105,0.052548
