0.268,0.27,0.2746,0.284,0.288,0.293,0.298,0.302,0.307,0.311,0.316,0.321,0.325,0.33,0.334,0.339,0.344,0.348,0.353,0.357,0.362,0.367,0.371,0.376,0.38,0.385,0.39,0.394,0.399,0.403,0.408,0.413,0.417,0.422,0.426,0.431,0.436,0.44,0.445,0.449,0.454,0.459,0.463,0.468,0.472,0.477,0.482,0.486,0.491,0.495,0.5,0.5046
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98361,0.98361,0.95082,0.93443,0.91803,0.91803,0.88525,0.85246,0.7541,0.67213,0.57377,0.4918,0.44262,0.2459,0.18033,0.13115,0.098361,0.081967,0.065574,0.04918,0.032787,0.016393,0.016393,0.016393,0,0,0,0,0,0
0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.96154,0.94231,0.94231,0.90385,0.88462,0.88462,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.98077,0.96154,0.96154,0.92308,0.88462,0.88462,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98077,0.98077,0.94231,0.90385,0.90385,0.86538,0.84615,0.73077,0.67308,0.57692,0.40385,0.38462,0.25,0.23077,0.23077,0.15385,0.15385,0.13462,0.13462,0.11538,0.076923,0.038462
